,Match_num,Team_name,Date,Opponent,Score,Location,Record,Home Record,Spread,Over/Under,Money Line
132,51,Boston Celtics,Jan-28,LA Lakers,W 125-121,Home,36-15,06-Jan,-7.5,Ov 234.5,1.343642612
133,52,Boston Celtics,02-Jan,Brooklyn,W 139-96,Home,37-15,07-Jan,-9,Ov 224.0,1.289855072
134,53,Boston Celtics,02-Mar,Phoenix,L 94-106,Home,37-16,07-Jan,-10,Un 220.0,1.230414747
135,54,Boston Celtics,02-Jun,Detroit,W 111-99,Away,38-16,07-Jan,-9.5,Un 227.5,1.259067358
136,55,Boston Celtics,02-Aug,Philadelphia,W 106-99,Home,39-16,08-Jan,-2.5,Un 227.5,1.751879699
137,56,Boston Celtics,02-Oct,Charlotte,W 127-116,Home,40-16,08-Jan,-10.5,Ov 227.0,1.202839757
138,57,Boston Celtics,02-Dec,Memphis,W 119-109,Home,41-16,08-Jan,-3,Ov 225.0,1.680272109
139,58,Boston Celtics,Feb-14,Milwaukee,L 125-131,Away,41-17,08-Jan,9.5,Ov 226.0,4.65
140,59,Boston Celtics,Feb-15,Detroit,W 127-109,Home,42-17,08-Jan,-12,Ov 228.0,1.164473684
141,60,Boston Celtics,Feb-23,Indiana,W 142-138,Away,43-17,08-Jan,-8,Ov 233.5,1.343642612
142,61,Boston Celtics,Feb-25,Philadelphia,W 110-107,Away,44-17,09-Jan,-1,Un 225.5,1.925925926
143,62,Boston Celtics,Feb-27,New York,L 94-109,Away,44-18,09-Feb,-2,Un 224.0,1.775193798
144,63,Boston Celtics,03-Jan,Cleveland,W 117-113,Home,45-18,09-Feb,-4.5,Ov 219.5,1.526315789
145,64,Boston Celtics,03-Mar,Brooklyn,L 105-115,Home,45-19,09-Mar,-10.5,Un 227.5,1.2
146,65,Boston Celtics,03-May,New York,L 129-131,Home,45-20,09-Apr,-6.5,Ov 225.5,1.408163265
147,66,Boston Celtics,03-Jun,Cleveland,L 114-118,Away,45-21,09-Apr,7.5,Ov 219.0,3.75
148,67,Boston Celtics,03-Aug,Portland,W 115-93,Home,46-21,09-Apr,-9.5,Un 231.0,1.238095238
149,68,Boston Celtics,03-Nov,Atlanta,W 134-125,Away,47-21,09-Apr,-5,Ov 238.5,1.552486188
150,69,Boston Celtics,Mar-13,Houston,L 109-111,Away,47-22,09-Apr,-13,Un 233.0,1.117096019
151,70,Boston Celtics,Mar-15,Minnesota,W 104-102,Away,48-22,09-Apr,-4,Un 231.0,1.628930818
152,71,Boston Celtics,Mar-17,Portland,W 126-112,Away,49-22,09-Apr,-6.5,Ov 234.5,1.4
153,72,Boston Celtics,Mar-18,Utah,L 117-118,Away,49-23,09-Apr,-4.5,Ov 233.0,1.529100529
154,73,Boston Celtics,Mar-21,Sacramento,W 132-109,Away,50-23,09-Apr,-5,Ov 237.5,1.492610837
155,74,Boston Celtics,Mar-24,Indiana,W 120-95,Home,51-23,09-Apr,-11,Un 236.0,1.181818182
156,75,Boston Celtics,Mar-26,San Antonio,W 137-93,Home,52-23,09-Apr,-16.5,Un 231.5,1.07751938
157,76,Boston Celtics,Mar-28,Washington,L 111-130,Away,52-24,09-Apr,-11,Ov 222.5,1.196850394
158,77,Boston Celtics,Mar-30,Milwaukee,W 140-99,Away,53-24,09-Apr,2,Ov 238.0,2.18
